id_mcc,mcc_description,uuid
8041,Chiropractors,e9b0a37a-6dd7-42c7-922a-884019067d79
8021,Dentists and orthodontists,f16d6725-e8b1-4054-a6b3-ae96d33b3b01
8011,Doctors and physicians — not elsewhere classified,f21d1ccc-afb8-46ce-91d1-444a8c91b505
5045,"Computers, computer peripheral equipment — not elsewhere classified",f325d3ef-20cf-40e9-8e7e-bd200cbbeae3
5192,"Books, Periodicals and Newspapers",f43a2ad5-60ce-40b4-96a4-96d896109745
8049,Podiatrists and chiropodists,f5131e25-4385-439c-8711-20e91df91789
5942,Book Stores,f6d2a0cb-8769-4b6b-9de4-41d77e5b8dc4
5719,Miscellaneous home furnishing speciality shops,f6d515f2-9dfa-49ca-87cf-9b66dce033e4
5941,Sporting goods shops,f8460742-4e3a-41cd-8b1e-9212b62d0a41
4112,Passenger railways,fac5fb69-13f2-466a-a9fe-8ceab84ceeb9
